                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0405,                0.68831,                 1.3416,                0.81671,                0.81999,                0.83474,                0.54308,                 1.3069,                0.78261,                 1.5332,             0.00096561,             0.00096561,             0.00096561
                     36,                 1.0523,                0.66732,                 1.3339,                 0.7922,                0.84549,                0.85019,                 0.5514,                 1.3136,                0.79702,                 1.5531,             0.00094498,             0.00094498,             0.00094498
                     37,                  1.019,                0.66542,                 1.3256,                0.83877,                0.80286,                0.84405,                0.55405,                 1.3162,                0.80364,                 1.5572,             0.00092435,             0.00092435,             0.00092435
                     38,                 1.0316,                0.62989,                 1.3275,                0.85086,                0.80966,                0.85289,                0.56491,                 1.2795,                 0.7778,                 1.5243,             0.00090372,             0.00090372,             0.00090372
                     39,                 1.0334,                0.64185,                 1.3321,                0.83517,                0.82641,                0.84576,                0.56141,                 1.3282,                0.83419,                 1.5629,             0.00088309,             0.00088309,             0.00088309
                     40,                 1.0127,                0.65728,                  1.307,                  0.802,                0.85827,                0.85247,                0.55321,                 1.2912,                0.77596,                 1.5317,             0.00086246,             0.00086246,             0.00086246
                     41,                 1.0062,                0.65041,                 1.3207,                0.81793,                0.85658,                0.86638,                 0.5751,                 1.2879,                0.75358,                 1.5439,             0.00084184,             0.00084184,             0.00084184
                     42,                0.99784,                0.61901,                 1.2955,                0.86921,                0.79511,                 0.8622,                0.55807,                 1.2787,                0.77015,                 1.5146,             0.00082121,             0.00082121,             0.00082121
                     43,                  1.002,                0.63276,                 1.3032,                0.82845,                0.84175,                0.85982,                0.55575,                 1.2835,                0.74521,                 1.5094,             0.00080058,             0.00080058,             0.00080058
                     44,                0.99301,                0.62545,                 1.3025,                0.84525,                0.84382,                0.85245,                0.55492,                 1.3103,                0.77305,                 1.5461,             0.00077995,             0.00077995,             0.00077995
                     45,                 1.0014,                0.62762,                  1.314,                0.83549,                  0.854,                0.86265,                0.56999,                 1.2916,                0.75472,                  1.517,             0.00075932,             0.00075932,             0.00075932
                     46,                0.99358,                0.60945,                 1.2927,                0.85072,                0.81141,                0.85855,                0.55424,                  1.314,                 0.7872,                 1.5661,             0.00073869,             0.00073869,             0.00073869
                     47,                0.98452,                0.60931,                 1.2768,                0.86524,                0.81814,                0.85808,                0.55949,                 1.2908,                0.76992,                  1.509,             0.00071806,             0.00071806,             0.00071806
                     48,                0.97253,                0.61597,                 1.2935,                0.84937,                0.84649,                0.86218,                0.56606,                 1.2914,                 0.7851,                 1.5418,             0.00069743,             0.00069743,             0.00069743
                     49,                0.97019,                0.60506,                 1.2714,                0.85149,                 0.8057,                0.84388,                0.55646,                  1.285,                0.78528,                 1.5294,              0.0006768,              0.0006768,              0.0006768
                     50,                 0.9572,                0.58227,                 1.2864,                0.88926,                0.79754,                0.85279,                0.56653,                 1.3019,                 0.7694,                 1.5653,             0.00065617,             0.00065617,             0.00065617
                     51,                0.97017,                0.59888,                 1.2808,                0.86293,                0.81277,                0.85766,                0.54981,                 1.2785,                0.73933,                 1.5319,             0.00063554,             0.00063554,             0.00063554
